Monitoring htmz process (PID: 47752)
Time,RSS(MB),VSZ(MB),CPU%
14:23:34,77.2,401743.6,89.6
14:23:39,77.2,401743.6,93.3
14:23:44,77.2,401743.6,86.0
14:23:49,77.2,401743.6,106.0
14:23:54,77.2,401743.6,93.7
14:23:59,77.2,401743.6,99.1
14:24:04,77.2,401743.6,92.0
14:24:09,76.8,401743.6,89.6
14:24:14,76.7,401743.6,94.5
14:24:19,76.5,401743.6,91.6
14:24:24,77.1,401743.6,79.9
14:24:29,77.2,401743.6,100.5
14:24:34,77.2,401743.6,85.8
14:24:39,77.2,401743.6,89.7
14:24:44,76.8,401743.6,88.5
14:24:49,76.9,401743.6,101.8
14:24:54,76.5,401743.6,92.6
14:24:59,77.2,401743.6,87.7
14:25:04,76.9,401743.6,80.6
14:25:09,76.1,401743.6,90.8
14:25:14,76.8,401743.6,82.4
14:25:19,76.8,401743.6,91.9
14:25:24,76.6,401743.6,98.6
14:25:29,76.3,401743.6,90.9
14:25:34,76.9,401743.6,78.7
14:25:39,77.0,401743.6,108.5
14:25:44,76.5,401743.6,86.0
14:25:49,76.5,401743.6,103.7
14:25:54,76.7,401743.6,80.4
14:25:59,77.2,401743.6,99.2
14:26:04,77.2,401743.6,94.3
14:26:09,77.2,401743.6,98.1
14:26:14,77.2,401743.6,82.4
14:26:19,77.2,401743.6,93.8
14:26:24,77.2,401743.6,83.2
14:26:29,77.2,401743.6,109.5
14:26:34,77.2,401743.6,91.3
14:26:39,77.2,401743.6,101.7
14:26:44,77.2,401743.6,88.0
14:26:49,77.2,401743.6,92.2
14:26:54,77.2,401743.6,86.4
14:26:59,77.2,401743.6,112.3
14:27:04,77.2,401743.6,99.3
14:27:09,77.2,401743.6,93.8
14:27:14,76.8,401743.6,100.6
14:27:20,77.1,401743.6,96.5
14:27:25,77.2,401743.6,89.0
14:27:30,77.2,401743.6,99.5
14:27:35,77.2,401743.6,102.6
14:27:40,77.2,401743.6,81.6
14:27:45,76.6,401743.6,82.5
14:27:50,76.8,401743.6,103.7
14:27:55,76.9,401743.6,101.0
14:28:00,76.7,401743.6,88.1
14:28:05,76.6,401743.6,88.4
14:28:10,77.2,401743.6,90.0
14:28:15,77.2,401743.6,97.3
14:28:20,76.5,401743.6,92.5
14:28:25,76.8,401743.6,85.5
14:28:30,76.6,401743.6,94.8
14:28:35,76.5,401743.6,96.0
14:28:40,76.5,401743.6,95.1
14:28:45,76.7,401743.6,81.4
14:28:50,76.7,401743.6,94.1
14:28:55,76.2,401743.6,80.9
14:29:00,76.5,401743.6,105.1
14:29:05,76.9,401743.6,88.4
14:29:10,76.9,401743.6,96.5
14:29:15,76.8,401743.6,97.4
14:29:20,77.2,401743.6,82.6
14:29:25,77.2,401743.6,98.2
14:29:30,76.9,401743.6,94.8
14:29:35,77.2,401743.6,100.6
14:29:40,77.1,401743.6,94.6
